iteration,Z,Z_total,loss,layer_name,prompt,timestep_index,image_id,identity_id,seed,learning_rate,finite_gradient_flag,nan_or_inf_flag,input_psnr,input_ssim,input_mse,input_l2,combined_mean_disp_px,combined_max_disp_px,combined_p95_disp_px,jacobian_det_min,foldover_fraction,smoothness_tv,tps_mean_disp,tps_max_disp,tps_p95_disp,delaunay_mean_disp,delaunay_max_disp,delaunay_p95_disp,rolling_mean_disp,rolling_max_disp,rolling_p95_disp,dct_mean_disp,dct_max_disp,dct_p95_disp,fft_phase_norm,fft_phase_max,fft_phase_mean_abs,legacy_fft_strength_equivalent,fft_spatial_delta_mse,tps_grad_norm,delaunay_grad_norm,rolling_grad_norm,dct_grad_norm,fft_grad_norm,total_grad_norm,num_total_params,num_clamped_total,fraction_clamped_total,num_at_min_total,num_at_max_total,components_at_boundary,seconds_iter,seconds_elapsed,peak_vram_gb
0,0.0007369518280029297,0.0007369518280029297,-0.0007369518280029297,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,26.070517277590582,0.9768469333648682,0.0024714297614991665,0.04971347749233246,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006711531314067543,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.05175740830600262,0.0707368403673172,5.098414897918701
1,0.0007369518280029297,0.0007369518280029297,-0.0007369518280029297,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,26.070517277590582,0.9768469333648682,0.0024714297614991665,0.04971347749233246,0.7494277954101562,1.9212477207183838,1.674102783203125,0.8746515512466431,0.0,0.01400594599545002,0.17096424102783203,0.4778667986392975,0.34311479330062866,0.20652326941490173,0.5307715535163879,0.3686310350894928,0.237868070602417,0.3973205089569092,0.39581573009490967,0.5555921196937561,1.4427913427352905,1.0737801790237427,101.47411346435547,0.5332565903663635,0.09171640872955322,29194.240234375,0.0006711531314067543,1.5038385754451156e-05,1.1564247870410327e-05,5.0325525080552325e-06,3.9026024751365185e-05,1.5938354408717714e-05,4.650024955638799e-05,326,0,0.0,0,0,,0.08492131717503071,0.15630306862294674,5.098414897918701
2,0.0004717111587524414,0.0004717111587524414,-0.0004717111587524414,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.90766443993776,0.9762409925460815,0.0025658635422587395,0.05065435543656349,0.715427041053772,1.7904294729232788,1.59371018409729,0.8774256110191345,0.0,0.013821100816130638,0.1678529679775238,0.4908479154109955,0.3525410294532776,0.20631656050682068,0.5660392642021179,0.37447619438171387,0.2067336142063141,0.3528740406036377,0.35155585408210754,0.5348918437957764,1.4438289403915405,1.0583759546279907,100.4134750366211,0.5184172987937927,0.09038474410772324,28770.357421875,0.0008171293884515762,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08416072092950344,0.24092325754463673,5.098414897918701
3,0.0003871917724609375,0.0003871917724609375,-0.0003871917724609375,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.641039214797164,0.9749590754508972,0.0027283248491585255,0.052233368158340454,0.7040150165557861,1.7724082469940186,1.5577428340911865,0.8791513442993164,0.0,0.01381414569914341,0.16778463125228882,0.49863722920417786,0.358840674161911,0.20735213160514832,0.5932123064994812,0.3833664059638977,0.18670177459716797,0.32330822944641113,0.32198408246040344,0.5282862186431885,1.4442671537399292,1.0630840063095093,101.11009979248047,0.5101963877677917,0.09066139161586761,28858.416015625,0.0009486633352935314,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08465522155165672,0.3260276559740305,5.098414897918701
4,0.00036656856536865234,0.00036656856536865234,-0.00036656856536865234,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.37264965331942,0.9735392332077026,0.002902251435443759,0.053872548043727875,0.7025879621505737,1.7731823921203613,1.550559163093567,0.8804359436035156,0.0,0.013866614550352097,0.16890671849250793,0.5042551159858704,0.36373305320739746,0.20878389477729797,0.6140409708023071,0.3918171525001526,0.17180460691452026,0.3005858063697815,0.2994234263896942,0.5280811786651611,1.4444575309753418,1.0730518102645874,102.33568572998047,0.5045876502990723,0.09151124954223633,29128.935546875,0.00106803048402071,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08509422279894352,0.4117081072181463,5.098414897918701
5,0.0003743767738342285,0.0003743767738342285,-0.0003743767738342285,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,25.13506010491338,0.9721910357475281,0.0030654482543468475,0.05536649003624916,0.7067298889160156,1.7740333080291748,1.5624785423278809,0.8814573287963867,0.0,0.013944871723651886,0.17063534259796143,0.508619487285614,0.3679860532283783,0.21035242080688477,0.6309835314750671,0.39980509877204895,0.16002507507801056,0.2820744514465332,0.2809704840183258,0.5313757658004761,1.448630690574646,1.0847744941711426,103.73824310302734,0.500407338142395,0.09259041398763657,29472.443359375,0.0011768550612032413,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.0849643386900425,0.49713859520852566,5.098414897918701
6,0.0004096031188964844,0.0004096031188964844,-0.0004096031188964844,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.925613483925616,0.9709255695343018,0.0032169080805033445,0.05671779438853264,0.7141478061676025,1.777733564376831,1.5730355978012085,0.8823055028915405,0.0,0.014035755768418312,0.17268255352973938,0.5122047662734985,0.3717753291130066,0.21194744110107422,0.6452170610427856,0.4070225656032562,0.1503826379776001,0.26650920510292053,0.2653932273387909,0.5366021394729614,1.496984601020813,1.1009010076522827,105.1753158569336,0.49713411927223206,0.0937608927488327,29845.017578125,0.0012762018013745546,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08473352156579494,0.5823145173490047,5.098414897918701
7,0.00044721364974975586,0.00044721364974975586,-0.00044721364974975586,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.73728022270363,0.9697239398956299,0.0033594793640077114,0.05796101689338684,0.7231295108795166,1.8080893754959106,1.5799431800842285,0.8830260038375854,0.0,0.014132235199213028,0.17487743496894836,0.5207717418670654,0.37651002407073975,0.2135137915611267,0.6574180126190186,0.41349443793296814,0.14231890439987183,0.2531551718711853,0.25205692648887634,0.5428774952888489,1.5425152778625488,1.1186023950576782,106.5810546875,0.4944891631603241,0.09494670480489731,30222.474609375,0.0013674888759851456,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08507934957742691,0.6678522452712059,5.098414897918701
8,0.0004812479019165039,0.0004812479019165039,-0.0004812479019165039,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.567047014328722,0.9685866236686707,0.0034937779419124126,0.0591081902384758,0.7325774431228638,1.8399893045425415,1.5947431325912476,0.8836482763290405,0.0,0.014230848290026188,0.17710891366004944,0.5315937399864197,0.38452720642089844,0.21502232551574707,0.6680206656455994,0.4193015992641449,0.13548123836517334,0.24154378473758698,0.24048633873462677,0.5496630668640137,1.5850367546081543,1.139599084854126,107.92371368408203,0.49230483174324036,0.09610264003276825,30590.41796875,0.0014515193179249763,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08522537536919117,0.7538351453840733,5.098414897918701
9,0.0005099773406982422,0.0005099773406982422,-0.0005099773406982422,vae_image_latent,add headphones,6,barack_obama_01,barack_obama,1234,0.03,True,False,24.41168363737916,0.9675043821334839,0.0036210259422659874,0.060174960643053055,0.7420141696929932,1.8720180988311768,1.6122745275497437,0.8841930627822876,0.0,0.014329512603580952,0.179306298494339,0.5411664843559265,0.391959547996521,0.2164575159549713,0.6773250102996826,0.42463213205337524,0.12961304187774658,0.23134949803352356,0.23035141825675964,0.5565836429595947,1.6243975162506104,1.161051630973816,109.18853759765625,0.4904719889163971,0.09720632433891296,30941.734375,0.0015289110597223043,0.0,0.0,0.0,0.0,0.0,0.0,326,0,0.0,0,0,,0.08889698795974255,0.8431559186428785,5.098414897918701
